scenario_id,plm_feature,repeat,fold,train_rows,test_rows,train_positive_count,test_positive_count,selected_ace_weight,train_auroc,test_auroc,test_average_precision,test_ace_only_auroc,test_ace_only_average_precision,test_plm_only_auroc,test_plm_only_average_precision,test_top_10pct_positives,test_ace_only_top_10pct_positives
esm2_8m,length_z,15,1,3321,891,41,11,0.6,0.781365258774539,0.7929752066115703,0.045147013952652096,0.7943181818181818,0.04023929817529417,0.690599173553719,0.028905390335657682,4,3
esm2_8m,length_z,15,2,3402,810,42,10,0.65,0.7944373582766439,0.746625,0.07600704583535559,0.7115,0.04148126760710371,0.6721250000000001,0.02829778427697459,2,2
esm2_8m,length_z,15,3,3402,810,42,10,0.65,0.7692389455782314,0.85175,0.04670235027627375,0.836375,0.043693663569448295,0.712375,0.02945915471761881,3,3
esm2_8m,length_z,15,4,3321,891,41,11,0.7,0.7915005948839976,0.7493801652892562,0.042171465095521825,0.7151859504132232,0.03576807483556677,0.740495867768595,0.02925859019336239,2,3
esm2_8m,length_z,15,5,3402,810,42,10,0.65,0.7875283446712019,0.7770000000000001,0.07535815858353864,0.764125,0.08832628025171708,0.6940000000000001,0.0320603768155076,4,4
esm2_8m,length_z,16,1,3321,891,41,11,0.6,0.781365258774539,0.7929752066115703,0.045147013952652096,0.7943181818181818,0.04023929817529417,0.690599173553719,0.028905390335657682,4,3
esm2_8m,length_z,16,2,3402,810,42,10,0.65,0.7944373582766439,0.746625,0.07600704583535559,0.7115,0.04148126760710371,0.6721250000000001,0.02829778427697459,2,2
esm2_8m,length_z,16,3,3402,810,42,10,0.65,0.7692389455782314,0.85175,0.04670235027627375,0.836375,0.043693663569448295,0.712375,0.02945915471761881,3,3
esm2_8m,length_z,16,4,3321,891,41,11,0.7,0.7915005948839976,0.7493801652892562,0.042171465095521825,0.7151859504132232,0.03576807483556677,0.740495867768595,0.02925859019336239,2,3
esm2_8m,length_z,16,5,3402,810,42,10,0.65,0.7875283446712019,0.7770000000000001,0.07535815858353864,0.764125,0.08832628025171708,0.6940000000000001,0.0320603768155076,4,4
esm2_8m,length_z,17,1,3321,891,41,11,0.6,0.781365258774539,0.7929752066115703,0.045147013952652096,0.7943181818181818,0.04023929817529417,0.690599173553719,0.028905390335657682,4,3
esm2_8m,length_z,17,2,3402,810,42,10,0.65,0.7944373582766439,0.746625,0.07600704583535559,0.7115,0.04148126760710371,0.6721250000000001,0.02829778427697459,2,2
esm2_8m,length_z,17,3,3402,810,42,10,0.65,0.7692389455782314,0.85175,0.04670235027627375,0.836375,0.043693663569448295,0.712375,0.02945915471761881,3,3
esm2_8m,length_z,17,4,3321,891,41,11,0.7,0.7915005948839976,0.7493801652892562,0.042171465095521825,0.7151859504132232,0.03576807483556677,0.740495867768595,0.02925859019336239,2,3
esm2_8m,length_z,17,5,3402,810,42,10,0.65,0.7875283446712019,0.7770000000000001,0.07535815858353864,0.764125,0.08832628025171708,0.6940000000000001,0.0320603768155076,4,4
esm2_8m,length_z,18,1,3321,891,41,11,0.6,0.781365258774539,0.7929752066115703,0.045147013952652096,0.7943181818181818,0.04023929817529417,0.690599173553719,0.028905390335657682,4,3
esm2_8m,length_z,18,2,3402,810,42,10,0.65,0.7944373582766439,0.746625,0.07600704583535559,0.7115,0.04148126760710371,0.6721250000000001,0.02829778427697459,2,2
esm2_8m,length_z,18,3,3402,810,42,10,0.65,0.7692389455782314,0.85175,0.04670235027627375,0.836375,0.043693663569448295,0.712375,0.02945915471761881,3,3
esm2_8m,length_z,18,4,3321,891,41,11,0.7,0.7915005948839976,0.7493801652892562,0.042171465095521825,0.7151859504132232,0.03576807483556677,0.740495867768595,0.02925859019336239,2,3
esm2_8m,length_z,18,5,3402,810,42,10,0.65,0.7875283446712019,0.7770000000000001,0.07535815858353864,0.764125,0.08832628025171708,0.6940000000000001,0.0320603768155076,4,4
esm2_8m,length_z,19,1,3321,891,41,11,0.6,0.781365258774539,0.7929752066115703,0.045147013952652096,0.7943181818181818,0.04023929817529417,0.690599173553719,0.028905390335657682,4,3
esm2_8m,length_z,19,2,3402,810,42,10,0.65,0.7944373582766439,0.746625,0.07600704583535559,0.7115,0.04148126760710371,0.6721250000000001,0.02829778427697459,2,2
esm2_8m,length_z,19,3,3402,810,42,10,0.65,0.7692389455782314,0.85175,0.04670235027627375,0.836375,0.043693663569448295,0.712375,0.02945915471761881,3,3
esm2_8m,length_z,19,4,3321,891,41,11,0.7,0.7915005948839976,0.7493801652892562,0.042171465095521825,0.7151859504132232,0.03576807483556677,0.740495867768595,0.02925859019336239,2,3
